location,text
Downtown Fitness,"Amazing gym! Clean equipment, great staff, love the morning classes."
Downtown Fitness,"Pretty good overall, but gets crowded during peak hours."
Downtown Fitness,"The trainers here are fantastic. Best gym experience ever!"
Downtown Fitness,"Decent place but the locker rooms could be cleaner."
Downtown Fitness,"Love this gym! Equipment is top notch and well maintained."
Westside Gym,"Terrible experience. Equipment is always broken and no one fixes it."
Westside Gym,"I'm cancelling my membership. This place has gone downhill fast."
Westside Gym,"Staff is rude and unhelpful. Thinking about switching gyms."
Westside Gym,"Dirty showers, broken machines, and overcrowded at all hours."
Westside Gym,"Not worth the price. The equipment is outdated and falling apart."
Northpark Studio,"The yoga classes are absolutely wonderful! Instructors are amazing."
Northpark Studio,"Great atmosphere and friendly community. Love coming here."
Northpark Studio,"Best spin classes in town. Clean facilities and great music."
Northpark Studio,"Excellent group fitness options. The Pilates class is my favorite."
Northpark Studio,"Wonderful studio with knowledgeable instructors. Highly recommend!"
East End Athletic,"Mixed feelings. Good equipment but the staff doesn't seem to care."
East End Athletic,"The gym is okay but the pricing is too high for what you get."
East End Athletic,"Used to be great but management changed and quality dropped."
East End Athletic,"Decent gym but seriously considering leaving. Too many issues lately."
East End Athletic,"Some good equipment but the cleanliness has really gone downhill."
